P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26
37 a 49 años;Femenino;Segunda especialidad;1;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2
37 a 49 años;Femenino;Maestria;1;1;2;2;2;1;1;1;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2
37 a 49 años;Femenino;Segunda especialidad;1;2;2;1;2;1;2;2;2;2;2;1;1;1;2;1;1;1;1;1;1;2;1
25 a 36 años;Femenino;Titulo profesional;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;2;1;2;1ñ
25 a 36 años;Femenino;Segunda especialidad;2;2;2;1;2;1;1;2;2;2;2;1;1;1;1;1;2;1;2;1;1;2;1
50 años a mas;Femenino;Titulo profesional;1;2;2;1;2;1;1;2;2;2;2;1;1;1;2;1;2;2;1;1;2;2;2
25 a 36 años;Femenino;Segunda especialidad;1;2;2;2;2;1;2;2;1;1;1;2;1;1;2;1;1;2;1;2;1;2;2
25 a 36 años;Femenino;Titulo profesional;1;2;2;1;1;1;2;2;2;2;2;2;1;1;2;1;2;1;1;2;2;2;2
37 a 49 años;Femenino;Titulo profesional;1;2;2;1;2;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1
37 a 49 años;Femenino;Segunda especialidad;1;2;2;2;2;1;2;1;1;2;2;1;2;2;2;1;2;1;1;2;1;2;1
25 a 36 años;Femenino;Titulo profesional;2;2;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2
37 a 49 años;Femenino;Segunda especialidad;1;2;2;1;1;2;2;2;2;2;1;1;1;1;2;1;2;2;2;1;2;1;2
25 a 36 años;Femenino;Titulo profesional;1;2;1;1;2;1;2;1;2;2;2;2;1;1;2;1;2;1;2;2;2;2;1
50 años a mas;Femenino;Segunda especialidad;1;2;2;1;2;1;2;2;2;2;2;1;1;1;2;1;2;2;1;2;2;2;1
25 a 36 años;Femenino;Titulo profesional;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;2;1;2;2;2;2;2
25 a 36 años;Femenino;Titulo profesional;1;2;2;1;2;1;2;2;2;2;2;1;1;2;2;1;2;2;1;2;1;2;1
37 a 49 años;Femenino;Segunda especialidad;1;2;2;1;2;1;2;2;2;2;2;2;1;1;1;1;1;2;2;2;1;2;1
25 a 36 años;Masculino;Segunda especialidad;1;2;2;1;2;2;2;2;2;2;2;1;1;2;1;1;1;1;1;2;1;2;1
37 a 49 años;Masculino;Segunda especialidad;1;1;1;1;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;1
37 a 49 años;Femenino;Titulo profesional;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;1;1;2;2;1;2;2
50 años a mas;Masculino;Segunda especialidad;1;2;2;2;2;1;2;2;2;2;2;1;1;1;2;1;2;1;2;2;2;2;2
37 a 49 años;Masculino;Segunda especialidad;2;2;2;1;2;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1
50 años a mas;Femenino;Segunda especialidad;1;2;2;1;2;1;2;2;2;2;2;1;1;1;1;1;1;1;2;1;1;2;1
25 a 36 años;Masculino;Segunda especialidad;1;2;2;1;1;1;2;1;2;2;2;2;1;1;1;1;1;1;1;2;1;1;1
37 a 49 años;Femenino;Ttulo profesional;1;2;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2
37 a 49 años;Femenino;Segunda especialidad;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2
37 a 49 años;Masculino;Segunda especialidad;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;1;1;1;2;2;2
37 a 49 años;Masculino;Titulo profesional;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2
25 a 36 años;Femenino;Titulo profesional;2;2;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2
37 a 49 años;Femenino;Segunda especialidad;1;2;2;1;2;1;2;2;2;2;2;1;1;1;1;1;1;1;2;1;1;2;1
37 a 49 años;Masculino;Segunda especialidad;1;2;1;1;1;2;1;1;2;2;1;2;1;1;2;1;2;2;2;2;2;2;2
25 a 36 años;Femenino;Maestria;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1
25 a 36 años;Femenino;Titulo profesional;1;2;2;1;2;1;2;2;2;2;2;1;1;1;1;1;2;1;2;2;2;2;1
37 a 49 años;Femenino;Segunda especialidad;1;1;2;2;2;2;1;1;2;2;2;2;1;1;2;1;2;2;2;2;1;2;2
25 a 36 años;Femenino;Segunda especialidad;1;2;2;1;2;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
37 a 49 años;Femenino;Segunda especialidad;1;2;2;1;2;1;1;2;2;2;2;2;2;1;2;1;2;2;2;2;1;2;2
37 a 49 años;Masculino;Segunda especialidad;2;1;1;2;2;1;1;1;2;2;2;1;1;1;1;1;2;1;2;1;1;2;2
37 a 49 años;Femenino;Titulo profesional;1;2;2;1;2;2;1;1;1;2;1;2;2;1;1;1;1;1;2;2;1;2;1
37 a 49 años;Masculino;Segunda especialidad;1;2;2;1;2;1;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2
